iter	Passed	Remaining
1489	86534	145773
1490	86585	145702
1491	86639	145637
1492	86700	145585
1493	86759	145527
1494	86827	145486
1495	86880	145421
1496	86941	145366
1497	87000	145311
1498	87052	145242
1499	87110	145183
1500	87178	145143
1501	87240	145090
1502	87306	145046
1503	87373	145002
1504	87435	144950
1505	87494	144894
1506	87548	144829
1507	87607	144772
1508	87669	144721
1509	87728	144664
1510	87784	144603
1511	87846	144551
1512	87906	144495
1513	87973	144452
1514	88027	144388
1515	88084	144328
1516	88145	144275
1517	88202	144214
1518	88272	144176
1519	88349	144149
1520	88409	144093
1521	88497	144083
1522	88554	144024
1523	88618	143975
1524	88671	143909
1525	88728	143850
1526	88797	143809
1527	88854	143749
1528	88912	143689
1529	88968	143628
1530	89024	143566
1531	89094	143527
1532	89151	143468
1533	89211	143413
1534	89274	143362
1535	89335	143309
1536	89394	143251
1537	89454	143196
1538	89518	143147
1539	89580	143095
1540	89641	143043
1541	89707	142997
1542	89770	142945
1543	89830	142890
1544	89886	142829
1545	89941	142765
1546	90004	142716
1547	90060	142653
1548	90115	142590
1549	90167	142523
1550	90224	142463
1551	90278	142398
1552	90335	142338
1553	90394	142280
1554	90442	142207
1555	90494	142138
1556	90546	142070
1557	90600	142006
1558	90661	141953
1559	90715	141888
1560	90773	141830
1561	90822	141757
1562	90876	141693
1563	90929	141627
1564	90987	141568
1565	91048	141514
1566	91112	141465
1567	91174	141414
1568	91221	141338
1569	91278	141277
1570	91337	141221
1571	91391	141157
1572	91450	141099
1573	91512	141047
1574	91567	140985
1575	91629	140932
1576	91688	140875
1577	91745	140815
1578	91798	140750
1579	91850	140682
1580	91914	140633
1581	91971	140574
1582	92033	140520
1583	92097	140471
1584	92161	140422
1585	92216	140360
1586	92272	140297
1587	92330	140240
1588	92385	140176
1589	92444	140119
1590	92496	140053
1591	92552	139992
1592	92609	139931
1593	92669	139875
1594	92721	139808
1595	92781	139754
1596	92844	139702
1597	92896	139634
1598	92952	139574
1599	93013	139520
1600	93075	139467
1601	93123	139394
1602	93181	139335
1603	93243	139283
1604	93313	139243
1605	93368	139180
1606	93427	139124
1607	93477	139054
1608	93543	139007
1609	93596	138941
1610	93652	138880
1611	93714	138827
1612	93775	138773
1613	93836	138720
1614	93899	138669
1615	93962	138617
1616	94015	138551
1617	94069	138487
1618	94121	138421
1619	94171	138350
1620	94234	138299
